"ts_stock","region","stock","year","catch","TAC","catch_by_TAC","DemersPelag","source","council","council_code","stock_code","year_rank","tac_group1","tac_group2","tac_change","rs_key_code"
"Abalone South Africa","South Africa","Abalone South Africa__full",1988,549,540,1.02,"demersal","Mike's data","South Africa",21,1,2,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1989,544,540,1.01,"demersal","Mike's data","South Africa",21,1,3,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1990,545,555,0.98,"demersal","Mike's data","South Africa",21,1,4,1,3,0.0277777777777778,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1991,532,555,0.96,"demersal","Mike's data","South Africa",21,1,5,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1992,575,545,1.05,"demersal","Mike's data","South Africa",21,1,6,2,3,-0.018018018018018,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1993,538,550,0.98,"demersal","Mike's data","South Africa",21,1,7,1,3,0.00917431192660551,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1994,596,575,1.04,"demersal","Mike's data","South Africa",21,1,8,1,3,0.0454545454545455,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1995,602,575,1.05,"demersal","Mike's data","South Africa",21,1,9,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1996,600,575,1.04,"demersal","Mike's data","South Africa",21,1,10,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1997,514,510,1.01,"demersal","Mike's data","South Africa",21,1,11,2,2,-0.11304347826087,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1998,479,470,1.02,"demersal","Mike's data","South Africa",21,1,12,2,3,-0.0784313725490196,1
"Abalone South Africa","South Africa","Abalone South Africa__full",1999,448,455,0.99,"demersal","Mike's data","South Africa",21,1,13,2,3,-0.0319148936170213,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2000,439,440,1,"demersal","Mike's data","South Africa",21,1,14,2,3,-0.032967032967033,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2001,366,368,0.99,"demersal","Mike's data","South Africa",21,1,15,2,2,-0.163636363636364,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2002,327,348,0.94,"demersal","Mike's data","South Africa",21,1,16,2,3,-0.0543478260869565,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2003,234,317,0.74,"demersal","Mike's data","South Africa",21,1,17,2,3,-0.0890804597701149,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2004,204,220,0.93,"demersal","Mike's data","South Africa",21,1,18,2,2,-0.305993690851735,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2005,175,175,1,"demersal","Mike's data","South Africa",21,1,19,2,2,-0.204545454545455,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2006,169,169,1,"demersal","Mike's data","South Africa",21,1,20,2,3,-0.0342857142857143,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2007,75,75,1,"demersal","Mike's data","South Africa",21,1,21,2,2,-0.556213017751479,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2008,24,25,0.96,"demersal","Mike's data","South Africa",21,1,22,2,2,-0.666666666666667,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2010,86,100,0.86,"demersal","Mike's data","South Africa",21,1,23,1,1,3,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2011,116,100,1.16,"demersal","Mike's data","South Africa",21,1,24,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2012,96,100,0.96,"demersal","Mike's data","South Africa",21,1,25,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2013,93,100,0.93,"demersal","Mike's data","South Africa",21,1,26,1,3,0,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2014,55,50,1.11,"demersal","Mike's data","South Africa",21,1,27,2,2,-0.5,1
"Abalone South Africa","South Africa","Abalone South Africa__full",2015,50,50,1,"demersal","Mike's data","South Africa",21,1,28,1,3,0,1
