"ts_stock","region","stock","year","catch","TAC","catch_by_TAC","DemersPelag","source"
"Abalone South Africa","South Africa","Abalone South Africa__full",1987,542,540,"1.00","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1988,549,540,"1.02","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1989,544,540,"1.01","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1990,545,555,"0.98","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1991,532,555,"0.96","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1992,575,545,"1.05","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1993,538,550,"0.98","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1994,596,575,"1.04","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1995,602,575,"1.05","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1996,600,575,"1.04","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1997,514,510,"1.01","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1998,479,470,"1.02","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",1999,448,455,"0.99","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2000,439,440,"1.00","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2001,366,368,"0.99","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2002,327,348,"0.94","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2003,234,317,"0.74","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2004,204,220,"0.93","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2005,175,175,"1.00","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2006,169,169,"1.00","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2007,75,75,"1.00","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2008,24,25,"0.96","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2010,86,100,"0.86","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2011,116,100,"1.16","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2012,96,100,"0.96","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2013,93,100,"0.93","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2014,55,50,"1.11","demersal","Mike's data"
"Abalone South Africa","South Africa","Abalone South Africa__full",2015,50,50,"1.00","demersal","Mike's data"
"Acadian redfish Gulf of Maine / Georges Bank","US northeast","Acadian redfish Gulf of Maine / Georges Bank_USA-NMFS-5YZ_full",2010,2167,7226,"0.30","demersal","Mike's data"
"Acadian redfish Gulf of Maine / Georges Bank","US northeast","Acadian redfish Gulf of Maine / Georges Bank_USA-NMFS-5YZ_full",2011,2721,7959,"0.34","demersal","Mike's data"
"Acadian redfish Gulf of Maine / Georges Bank","US northeast","Acadian redfish Gulf of Maine / Georges Bank_USA-NMFS-5YZ_full",2012,4445,8786,"0.51","demersal","Mike's data"
"Acadian redfish Gulf of Maine / Georges Bank","US northeast","Acadian redfish Gulf of Maine / Georges Bank_USA-NMFS-5YZ_full",2013,4024,10462,"0.38","demersal","Mike's data"
"Acadian redfish Gulf of Maine / Georges Bank","US northeast","Acadian redfish Gulf of Maine / Georges Bank_USA-NMFS-5YZ_full",2014,4748,10909,"0.44","demersal","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1980,236,200,"1.18","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1981,13,200,"0.07","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1986,476,850,"0.56","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1987,1069,1200,"0.89","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1988,1125,1200,"0.94","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1989,1269,1200,"1.06","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1990,164,1200,"0.14","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1991,605,1190,"0.51","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1992,3,1190,"0.00","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1994,244,1200,"0.20","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1995,4323,1200,"3.60","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1996,3053,3800,"0.80","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1997,3049,3800,"0.80","benthic","Mike's data"
"Aesop shrimp Shrimp Fishing Areas 2-3","Canada east","Aesop shrimp Shrimp Fishing Areas 2-3__full",1998,2841,3800,"0.75","benthic","Mike's data"
